Plot,Position,WaterPotential_Mpa,WaterPotential_Mpa,WaterPotential_Mpa,WaterPotential_Mpa,Date,Notes
41,2,-0.291,-0.315,,,26-Jan-20,
41,16,-0.369,-0.345,,,26-Jan-20,
41,15,-0.103,-0.176,,,26-Jan-20,
41,12,-0.143,-0.176,,,26-Jan-20,
41,6,0.67,-1.07,-0.741,-0.874,26-Jan-20,
41,9,-0.947,-0.971,,,26-Jan-20,
41,11,-0.214,-0.234,,,26-Jan-20,
41,1,-0.685,-0.679,,,26-Jan-20,
41,8,-0.259,-0.302,,,26-Jan-20,
33,7,-0.27,-0.32,,,26-Jan-20,
41,5,-0.388,-0.318,,,26-Jan-20,
33,14,-0.414,-0.403,,,26-Jan-20,
33,4,-0.327,-0.364,,,26-Jan-20,
33,8,-0.87,-0.881,,,26-Jan-20,
33,3,-0.472,-0.509,,,26-Jan-20,
33,15,-0.746,-0.742,,,26-Jan-20,
33,2,-0.12,-0.127,,,26-Jan-20,
33,9,-0.403,-0.475,-0.441,,26-Jan-20,
33,13,-0.567,-0.606,,,26-Jan-20,
24,6,-0.379,-0.222,-0.22,,26-Jan-20,
24,5,-0.203,-0.202,,,26-Jan-20,
24,7,-0.296,-0.291,,,26-Jan-20,
24,4,-0.188,-0.191,,,26-Jan-20,
24,8,-0.22,-0.134,-0.125,,26-Jan-20,
24,1,-0.375,-0.288,,,26-Jan-20,
24,11,-0.322,-0.445,-0.44,,26-Jan-20,
24,12,-0.518,-0.576,,,26-Jan-20,
24,13,-0.474,-0.57,-0.611,,26-Jan-20,
1,5,-0.215,-0.144,-0.135,,26-Jan-20,
1,12,-0.317,-0.365,,,26-Jan-20,
1,13,-0.316,-0.313,,,26-Jan-20,
23,3,-0.281,-0.305,,,26-Jan-20,
23,7,-0.428,-0.402,,,26-Jan-20,
1,4,-0.846,-0.921,,,26-Jan-20,
23,5,-0.69,-0.762,-0.782,,26-Jan-20,
12,13,-1.326,-1.411,,,4-Feb-20,
10,11,-0.482,-0.491,,,4-Feb-20,
10,15,-1.092,-1.45,-1.676,,4-Feb-20,
46,3,-1.105,-1.758,-1.54,,4-Feb-20,
46,7,-0.558,-0.812,-0.693,,4-Feb-20,
36,2,-0.569,-0.732,,,4-Feb-20,
54,1,-0.432,-0.546,,,4-Feb-20,
36,13,-1.091,-1.343,-1.346,,4-Feb-20,
10,15,-0.603,-0.706,,,4-Feb-20,
10,13,-1.126,-1.13,,,4-Feb-20,
9,4,-0.456,-0.452,,,4-Feb-20,
18,8,-1.03,-1.031,,,4-Feb-20,
46,14,-0.807,-0.835,,,4-Feb-20,
9,9,-1.096,-0.787,,,4-Feb-20,
12,6,-1.278,-1.455,-1.433,,4-Feb-20,
12,4,-0.562,-0.622,,,4-Feb-20,
9,7,-0.558,-0.416,,,4-Feb-20,
12,18,-0.247,-0.349,,,4-Feb-20,
4,14,-0.962,-0.861,,,4-Feb-20,
18,7,-0.476,-0.36,,,4-Feb-20,
4,13,-0.756,-0.823,,,4-Feb-20,
5,5,-0.73,-0.734,,,4-Feb-20,
46,4,-1.133,-1.33,,,4-Feb-20,
54,10,-0.904,-0.812,,,4-Feb-20,
9,13,-0.577,-0.868,,,4-Feb-20,
9,14,-0.583,-0.541,,,4-Feb-20,
54,5,-0.45,-0.492,,,4-Feb-20,No leaves
54,15,-0.364,-0.486,,,4-Feb-20,
54,11,-0.654,-0.806,,,4-Feb-20,
9,3,-2.952,-3.084,,,4-Feb-20,Seedling dying
54,3,-0.479,-0.393,,,4-Feb-20,
54,16,-0.604,-0.642,,,4-Feb-20,
54,14,-0.467,-0.463,,,4-Feb-20,
12,16,-0.778,-0.843,,,4-Feb-20,
54,2,-0.455,-0.624,,,4-Feb-20,
9,2,-0.454,-0.511,,,4-Feb-20,
12,2,-0.705,-0.723,,,4-Feb-20,
12,14,-0.313,-0.277,,,4-Feb-20,
12,12,-1.402,-1.442,,,4-Feb-20,
12,1,-0.345,-0.386,,,4-Feb-20,
12,15,-0.521,-0.54,,,4-Feb-20,
12,3,-0.405,-0.326,,,4-Feb-20,
9,12,-0.325,-0.418,,,4-Feb-20,
36,5,-0.501,-0.525,,,4-Feb-20,
36,14,-0.282,-0.402,-0.468,,4-Feb-20,
46,13,-0.531,-0.638,,,4-Feb-20,
36,9,-0.45,-0.531,,,4-Feb-20,
36,7,-0.251,-0.296,,,4-Feb-20,
36,16,-0.41,-0.518,,,4-Feb-20,
10,9,-1.3,-1.444,,,4-Feb-20,
36,10,-1.214,-1.232,,,4-Feb-20,
36,8,-0.347,-0.381,,,4-Feb-20,
46,12,-0.244,-0.285,,,4-Feb-20,
10,12,-0.332,-0.486,,,4-Feb-20,
46,10,-1.334,-1.321,,,4-Feb-20,
46,16,-0.926,-1.058,,,4-Feb-20,
46,1,-1.053,-1.11,,,4-Feb-20,
10,2,-1.728,-1.801,,,4-Feb-20,
18,1,-0.261,-0.387,,,4-Feb-20,
46,2,-1.928,-1.882,,,4-Feb-20,
4,15,-1.203,-1.302,,,4-Feb-20,
10,1,-0.593,-0.591,,,4-Feb-20,
5,16,-1.492,-1.474,,,4-Feb-20,
10,8,-1.512,-1.538,,,4-Feb-20,
5,10,-1.044,-1.047,,,4-Feb-20,
18,11,-1.3,-1.306,,,4-Feb-20,
4,11,-0.662,-0.705,,,4-Feb-20,
4,4,-0.884,-0.994,,,4-Feb-20,