Variable,Units,Description
Plot,integer,
Position,integer,
ID,character,
Species,character,
Moisture,%,
RootDryMass,g,
RootDepth,cm,
RootLength,cm,
RootSurfaceArea,cm2,
RootAvgDiam,mm,
RootVolume,cm3,
RootTips,integer,
RootForks,integer,
SRL,cm/g,
SRA,cm2/g,
RTD,g/cm3,
SRTA,tips/g,
StemDensity,g/cm3,
StemDryMass,g,
LeafDryMass,g,
LeafArea,cm2,
LeafThickness1,mm,
LeafThickness2,mm,
LeafThickness3,mm,
LeafThicknessMean,mm,
LMA,g/m2,
LDMC,%,
WDMC,%,
RDMC,%,
LeafDryMassFraction,%,
StemDryMassFraction,%,
RootDryMassFraction,%,